day,cbg,susceptible,infectious,recovered
27,160659503021,1726,2,0
27,120810020133,10375,1,1
27,390998125004,1329,1,0
27,490111255022,2350,1,0
27,320030003012,359,1,0
27,181730307052,2879,1,0
27,210219304001,1344,1,0
27,61070010031,9593,1,0
27,390170111101,2454,1,0
27,320310024091,4735,1,0
27,201730100042,3137,1,0
27,420710118051,1319,1,0
27,490111251032,2470,1,0
27,420110117022,2413,1,0
27,80410039022,12440,1,0
27,360850291031,1170,1,0
27,120860002123,1779,1,0
27,211170668002,3081,1,0
27,320030067001,427,3,6
27,60570008024,2724,1,0
27,220710117002,866,1,0
27,420912007072,1769,1,0
27,61070022041,3986,1,0
27,371970501023,1810,1,0
28,120860001341,868,0,1
28,320030067001,427,2,7
28,490490014024,2030,0,1
28,530539400031,3638,1,0
28,530670122222,5339,0,1
28,410470103032,1864,0,1
28,310550074321,738,0,1
28,210279601004,2112,0,1
28,120570060004,397,0,1
28,420730008002,2076,0,1
28,540790206012,1442,0,1
28,220150104002,593,0,1
28,490451306002,978,0,1
28,370590802001,2431,0,1
28,60375703031,1989,0,1
28,60670076021,1405,0,1
28,120860002024,2092,0,1
28,320030033201,3184,0,1
28,210819201003,3066,0,1
28,171919552002,1236,0,1
28,420893003043,731,1,0
28,60770047043,1494,1,0
28,211510105001,1884,1,0
28,120110105041,2907,1,0
28,150070402042,2650,1,0
28,290318804003,3103,1,0
28,60710018031,3262,1,0
28,371719310031,1621,1,0
28,170999617011,2585,1,0
28,490039606022,945,1,0
28,210290204002,2540,1,0
28,60373021022,1413,1,0
28,311530105015,1927,1,0
28,320030067001,426,3,7
28,170898524014,2250,1,0
28,450450033041,4314,1,0
28,211239601011,1810,1,0
28,220150111083,2890,1,0
28,60371864032,1723,1,0
28,180510504021,2222,1,0
28,484391132101,2724,1,0
28,80010090012,2406,1,0
29,420430245033,1363,1,0
29,420750039022,2194,0,1
29,470039504013,2702,1,0
29,450450038023,2129,0,1
29,191290401004,1134,1,0
29,310550057001,847,0,1
29,400850942002,2238,1,0
29,481210214082,2575,0,1
29,540790206037,1091,0,1
29,490111267002,983,0,1
29,60590524233,1984,0,1
29,61070024001,6356,0,1
29,211170636034,4606,0,1
29,180973219002,1930,0,1
29,191290402021,2059,0,1
29,450450028162,5163,0,2
29,180571110071,2681,0,1
29,390170111282,1915,0,1
29,170318026093,981,0,1
29,461030102004,988,0,1
29,211779602005,1209,0,1
29,120110106061,2296,0,1
29,150070406032,538,0,1
29,81170001005,1113,0,1
29,171635032113,2080,0,1
29,490351129212,1016,1,0
29,370670026032,1335,1,0
29,171030009001,1045,1,0
29,311090037141,4254,1,0
29,210670024001,1582,1,0
29,410670307001,556,1,0
29,120330012013,972,1,0
29,371939610023,984,1,0
29,180839552005,1175,1,0
29,360595209003,837,1,0
29,450450030132,4024,1,0
29,460079410002,816,1,0
29,490111271004,1716,1,0
29,220150104002,592,1,1
29,180290802024,2374,1,0
29,90091545004,1160,1,0
29,61070031001,791,1,0
29,170314804004,475,1,0
29,40190043291,11304,1,0
29,160659505002,1799,1,0
29,180510503001,626,1,0
29,210670035042,2542,1,0
29,490111251031,3715,1,0
29,340258101021,2945,1,0
